Date/Time,ETR (Wh/m^2),Electricity:Facility [kW](Hourly),Normalized Solar Energy [kWh],Normalized SE2
 01/07  08:00:00,31,1.4414629333,0.0775,0.082
 01/07  09:00:00,216,1.3907512911,0.54,0.094
 01/07  10:00:00,393,1.2193126559,0.9825,0.099
 01/07  11:00:00,519,1.2540841453,1.2975,0.105
 01/07  12:00:00,585,1.2289090463,1.4625,0.111
 01/07  13:00:00,587,1.1967390192,1.4675,0.113
 01/07  14:00:00,524,1.1612358411,1.31,0.123
 01/07  15:00:00,401,1.1558674886,1.0025,0.2
 01/07  16:00:00,227,1.2303128995,0.5675,0.238
 01/07  17:00:00,37,1.4865614188,0.0925,0.26
 01/07  18:00:00,0,2.0124895952,0,0.288
 01/07  19:00:00,0,2.315921403,0,0.308
 01/07  20:00:00,0,2.270250534,0,0.295
 01/07  21:00:00,0,2.1153781058,0,0.317
 01/07  22:00:00,0,1.9497334474,0,0.313
 01/07  23:00:00,0,1.6303498407,0,0.327
 01/07  24:00:00,0,1.3098316241,0,0.331
 01/08  01:00:00,0,0.9917792375,0,0.321
 01/08  02:00:00,0,0.8662655489,0,0.323
 01/08  03:00:00,0,0.823183079,0,0.332
 01/08  04:00:00,0,0.8133996148,0,0.354
 01/08  05:00:00,0,0.8162896204,0,0.343
 01/08  06:00:00,0,0.8689661997,0,0.336
 01/08  07:00:00,0,1.0963258487,0,0.335
 01/08  08:00:00,31,1.4351935579,0.0775,0.342
 01/08  09:00:00,217,1.4069178478,0.5425,0.364
 01/08  10:00:00,394,1.2602481506,0.985,0.343
 01/08  11:00:00,521,1.2773418795,1.3025,0.312
 01/08  12:00:00,588,1.2504707238,1.47,0.278
 01/08  13:00:00,590,1.2009859502,1.475,0.27
 01/08  14:00:00,528,1.1613781376,1.32,0.293
 01/08  15:00:00,405,1.1613305901,1.0125,0.322
 01/08  16:00:00,231,1.2339776648,0.5775,0.36
 01/08  17:00:00,40,1.5345419627,0.1,0.395
 01/08  18:00:00,0,2.0777466282,0,0.385
 01/08  19:00:00,0,2.3841770287,0,0.36
 01/08  20:00:00,0,2.3464537324,0,0.322
 01/08  21:00:00,0,2.1860982505,0,0.277
 01/08  22:00:00,0,2.0345200919,0,0.249
 01/08  23:00:00,0,1.7174822442,0,0.226
 01/08  24:00:00,0,1.3979399234,0,0.2
 01/09  01:00:00,0,1.0678994745,0,0.178
 01/09  02:00:00,0,0.9551338529,0,0.191
 01/09  03:00:00,0,0.9109748179,0,0.187
 01/09  04:00:00,0,0.9101467124,0,0.184
 01/09  05:00:00,0,0.9276062763,0,0.174
 01/09  06:00:00,0,0.9856030972,0,0.174
 01/09  07:00:00,0,1.2219143053,0,0.145
 01/09  08:00:00,32,1.5357136301,0.08,0.13
 01/09  09:00:00,218,1.4324140317,0.545,0.108
 01/09  10:00:00,396,1.2127098569,0.99,0.1
 01/09  11:00:00,524,1.2186067078,1.31,0.067
 01/09  12:00:00,591,1.1668061153,1.4775,0.052
 01/09  13:00:00,594,1.1271963902,1.485,0.053
 01/09  14:00:00,532,1.102256042,1.33,0.05
 01/09  15:00:00,409,1.1048838156,1.0225,0.042
 01/09  16:00:00,235,1.1940651669,0.5875,0.035
 01/09  17:00:00,42,1.470369942,0.105,0.031
 01/09  18:00:00,0,2.0092157448,0,0.023
 01/09  19:00:00,0,2.3119431871,0,0.029
 01/09  20:00:00,0,2.2740488687,0,0.023
 01/09  21:00:00,0,2.1295254623,0,0.02
 01/09  22:00:00,0,1.9654578508,0,0.021
